thetha;voltage;altura
114;2141.017241;0
115;2127.859649;0
116;2126.927536;0
117;2135.518519;0
118;2101.064516;0
119;2076.423729;0
120;2057.701754;0
121;2031.553571;0
122;2029.2;0
123;2033.306452;0
124;2037.875;0
125;2042.333333;0
126;2044.098361;0
127;2034.75;0
128;2028.063492;0
129;2032.285714;0
130;2034.803279;0
131;2040.719298;0
132;2044.83871;0
133;2040.259259;0
134;2027.09375;0
135;2030.609375;0
136;2033.081967;0
137;2038.081967;0
138;2042.377049;0
139;2042.054545;0
140;2029.206897;0
141;2029.390625;0
142;2077.372881;0
143;2127.871429;0
144;2099.84127;0
145;2142.033333;0
146;2138.232323;0
147;2127.348485;0
148;2133.740741;0
149;2138.5;0
150;2142.295082;0
151;2237.901408;0
152;2230.62069;0
153;2228.442623;0
154;2230.823529;0
155;2269.183333;0
156;2320.87013;0
157;2338.107143;0
158;2327.339623;0
159;2318.765625;0
160;2385.851852;0
161;2418.063492;0
162;2499.8875;0
163;2516.932203;0
164;2517.166667;0
165;2504.15;0
166;2506.298507;0
167;2509.885246;0
168;2513.75;0
169;2520.112903;0
170;2516.483333;0
171;2425.912281;0
172;2413.6875;0
173;2421.084746;0
174;2389.59322;0
175;2346.015625;0
176;2340.384615;0
177;2321.183333;0
178;2266.280702;0
179;2234.193548;0
180;2237.366667;0
181;2242.809524;0
182;2242.55;0
183;2230.568966;0
184;2228.553846;0
185;2168.414141;0
186;2143.175439;0
187;2142.017544;0
188;2145.363636;0
189;2140.326923;0
190;2126.984615;0
191;2131.30303;0
192;2136.05;0
193;2142.767857;0
194;2144.122807;0
195;2144.327273;0
196;2129.127273;0
197;2127.776119;0
198;2135.192982;0
199;2140.232143;0
200;2143.5;0
201;2147.381818;0
202;2130.527273;0
203;2128.393443;0
204;2133.163636;0
205;2136.196429;0
206;2144.122807;0
207;2146.909091;0
208;2139.134615;0
209;2125.953846;0
210;2129.969697;0
211;2136.338983;0
212;2142.87037;0
213;2145.892857;0
214;2140.480769;0
215;2175.359375;0
216;2162.809524;0
217;2159.672414;0
218;2235.5125;0
219;2245.177419;0
220;2242.830508;0
221;2228.5;0
222;2230.8;0
223;2313.717647;0
224;2333.981818;0
225;2339.396552;0
226;2419.485294;0
227;2420.741379;0
228;2415.645161;0
229;2452.5;0
230;2438.629032;0
231;2429.183333;0
232;2431.508772;0
233;2414.698113;0
234;2344.483871;0
235;2328.517857;0
236;2330.928571;0
237;2339.462963;0
238;2269.694915;0
239;2240.54902;0
240;2229.129032;0
241;2233.298507;0
242;2236.688525;0
243;2200.181818;0
244;2151.633333;0
245;2142.45283;0
246;2125.84375;0
247;2133.433333;0
248;2136.351852;0
249;2143.018182;0
250;2098.655738;0
251;2090.442308;0
252;2044.95;0
