thetha;voltage;altura
160;1322.763636;0
161;1349.081081;0
162;1357.910714;0
163;1361.090909;0
164;1349.614035;0
165;1345.111111;0
166;1350;0
167;1353.548387;0
168;1357.709677;0
169;1361.416667;0
170;1354.019231;0
171;1345.215385;0
172;1394.704225;0
173;1445.4875;0
174;1460.380952;0
175;1460.639344;0
176;1458.236364;0
177;1445.163934;0
178;1448.65625;0
179;1453.016393;0
180;1459.967742;0
181;1461.706897;0
182;1475.383333;0
183;1528.893939;0
184;1540.890411;0
185;1548.983607;0
186;1553.3;0
187;1574;0
188;1559.258621;0
189;1544.473684;0
190;1544.285714;0
191;1548.6;0
192;1552.428571;0
193;1559.792453;0
194;1560.053571;0
195;1547.777778;0
196;1545.03125;0
197;1548.819672;0
198;1553.907692;0
199;1561.660377;0
200;1559.77193;0
201;1552.137255;0
202;1544.276923;0
203;1550.428571;0
204;1553.952381;0
205;1560.293103;0
206;1560.327273;0
207;1554.240741;0
208;1545.25;0
209;1548.53125;0
210;1552.951613;0
211;1560.160714;0
212;1590.344262;0
213;1614.3;0
214;1554.569231;0
215;1580.863636;0
216;1616.363636;0
217;1614.637931;0
218;1660.621212;0
219;1654.481481;0
220;1646.738462;0
221;1649.693548;0
222;1657.33871;0
223;1660.885246;0
224;1662;0
225;1655.471698;0
226;1646.166667;0
227;1745.795181;0
228;1756.017857;0
229;1764;0
230;1769.803571;0
231;1755.566038;0
232;1745.384615;0
233;1805.623377;0
234;1843.184211;0
235;1854.984127;0
236;1858.724138;0
237;1857.481481;0
238;1844.904762;0
239;1862.647059;0
240;1906.38806;0
241;1946.68;0
242;1960.328125;0
243;1959.436364;0
244;1940.032258;0
245;1944.982456;0
246;1948.603448;0
247;1954.140351;0
248;1959.460317;0
249;1975.75;0
250;1965.323944;0
251;2039.538462;0
252;2045.274194;0
253;2053.806452;0
254;2057.62069;0
255;2055.842105;0
256;2073.641791;0
257;1946.574468;1
258;2151.531915;1
259;2161.238095;1
260;2160.355932;1
261;2155.962963;1
262;2144.095238;1
263;2239.930233;1
264;2248.31746;1
265;2254.015625;1
266;2257.196721;1
267;2252.615385;1
268;2304.774648;1
269;2332.714286;1
270;2341.314815;1
271;2349.428571;1
272;2353.508475;1
273;2379.848485;1
274;2424.917808;1
275;2427.485294;1
276;2432;1
277;2435.245614;1
278;2488.647887;1
279;2526.955882;1
280;2521.145833;1
281;2519.086207;1
282;2520.821429;1
283;2524.482759;1
284;2582.958333;1
285;2597.237288;1
286;2641;1
287;2639.34375;1
288;2643.269841;1
289;2646.264151;1
290;2651.053571;1
291;2654.211538;1
292;2651.574074;1
293;2661.267606;1
294;2710.608696;1
295;2730.463768;1
296;2737.825397;1
297;2742.262295;1
298;2743.736842;1
299;2730.672414;1
300;2729.539683;1
301;2733.919355;1
302;2736.20339;1
303;2742.431034;1
304;2744.169492;1
305;2736.017241;1
306;2718.793103;1
307;2709.457627;1
308;2731.554054;1
309;2703.77193;1
310;2675.890625;1
311;2683.214286;1
312;2683.103448;1
313;2655.610169;1
314;2667.435484;1
315;2651.074074;1
316;2652.196429;1
317;2648.818182;1
318;2637.968254;1
319;2617.15625;1
320;2544.269231;1
321;2528.035088;1
322;2530.754098;1
323;2529.907407;1
