thetha;voltage;altura
226;2053.436364;0
227;2047.534483;0
228;2057.044776;0
229;2137.240506;0
230;2116.716667;0
231;2147.9875;0
232;2154.666667;0
233;2156.789474;0
234;2137.508475;0
235;2140.369231;0
236;2144.661017;0
237;2148.267857;0
238;2155.369231;0
239;2156.169811;0
240;2142.661017;0
241;2139.355932;0
242;2143.637931;0
243;2149.101695;0
244;2156.907692;0
245;2156.654545;0
246;2145.711538;0
247;2137.559322;0
248;2141.79661;0
249;2147.178571;0
250;2114.766667;0
251;2154.625;0
252;2152.851852;0
253;2138.561404;0
254;2142.083333;0
255;2146.236364;0
256;2112.9;0
257;1856.358696;1
258;2056.035714;1
259;2040.606557;1
260;2043.966102;1
261;2048.048387;1
262;2084.910448;1
263;2087.140351;1
264;2048.592593;1
265;2070.028986;1
266;2095.411765;1
267;2054.338462;1
268;2091.585714;1
269;2093.943396;1
270;2092.145455;1
271;2046.428571;1
272;2095.813333;1
273;2050.016949;1
274;2048.66129;1
275;2103.75;1
276;2096.962963;1
277;2052.046875;1
278;2113.324675;1
279;2101.767857;1
280;2099.983051;1
281;2104.233333;1
282;2100.509434;1
283;2078.103448;1
284;2072.457627;1
285;2092.5;1
286;2093.7;1
287;2090.220339;1
288;2070.945455;1
289;2077.349206;1
290;2063.738462;1
291;2069.430769;1
292;2068.754386;1
293;2071.678571;1
294;2084.983051;1
295;2054.980769;1
296;2038.953846;1
297;2065.852941;1
298;2053.263158;1
299;2084.716418;1
300;2094.603448;1
301;2095.075472;1
302;2119.791045;1
303;2120.283333;1
304;2113.210526;1
305;2107.22807;1
306;2105.516667;1
307;2151.152778;1
308;2133.057692;1
309;2134.380282;1
310;2116.5;1
311;2110.216667;1
312;2106.553571;1
313;2101.818182;1
314;2139.257143;1
315;2134.842857;1
316;2142.515625;1
317;2147.036364;1
318;2114.896552;1
319;2151.383562;1
320;2147.448276;1
321;2138.310345;1
322;2144.126984;1
323;2146.701754;1
324;2150.946429;1
325;2110.868852;1
326;2141.636364;1
327;2140.590909;1
328;2141.276923;1
329;2144.034483;1
330;2149.509091;1
331;2111.836066;1
332;2148.597403;1
333;2140.4;1
334;2138.8;1
335;2145.678571;1
336;2148.070175;1
337;2155.734375;1
338;2156.288136;1
339;2147.118644;1
340;2138.180328;1
341;2142.892857;1
342;2147.298246;1
